Input,Output 1,Output 2
0.000000,ff800000,7f800000
0.062500,dfc00000,5f400000
0.125000,dfb504f3,5f3504f3
0.187500,dfb3cd3a,5f33cd3a
0.250000,dfc00000,5f400000
0.312500,dfb4f92e,5f34f92e
0.375000,dfb105ec,5f3105ec
0.437500,dfb1848f,5f31848f
0.500000,dfb504f3,5f3504f3
0.562500,dfb2aaab,5f32aaab
0.625000,dfb1e89b,5f31e89b
0.687500,dfb25fb2,5f325fb2
0.750000,dfb3cd3a,5f33cd3a
0.812500,dfb600d5,5f3600d5
0.875000,dfb8d677,5f38d677
0.937500,dfbc32a5,5f3c32a5
1.000000,dfc00000,5f400000
1.062500,dfbc5b42,5f3c5b42
1.125000,dfb95bef,5f395bef
1.187500,dfb6ebf5,5f36ebf5
1.250000,dfb4f92e,5f34f92e
1.312500,dfb37483,5f337483
1.375000,dfb2514a,5f32514a
1.437500,dfb184cd,5f3184cd
1.500000,dfb105ec,5f3105ec
1.562500,dfb0cccd,5f30cccd
1.625000,dfb0d2ab,5f30d2ab
1.687500,dfb111a3,5f3111a3
1.750000,dfb1848f,5f31848f
1.812500,dfb226eb,5f3226eb
1.875000,dfb2f4ba,5f32f4ba
1.937500,dfb3ea74,5f33ea74
2.000000,dfb504f3,5f3504f3
2.062500,dfb4416a,5f34416a
2.125000,dfb39d53,5f339d53
2.187500,dfb3166c,5f33166c
2.250000,dfb2aaab,5f32aaab
2.312500,dfb25835,5f325835
2.375000,dfb21d5f,5f321d5f
2.437500,dfb1f8a2,5f31f8a2
2.500000,dfb1e89b,5f31e89b
2.562500,dfb1ec04,5f31ec04
2.625000,dfb201b3,5f3201b3
2.687500,dfb22896,5f322896
2.750000,dfb25fb2,5f325fb2
2.812500,dfb2a61f,5f32a61f
2.875000,dfb2fb06,5f32fb06
2.937500,dfb35da2,5f335da2
3.000000,dfb3cd3a,5f33cd3a
3.062500,dfb44925,5f344925
3.125000,dfb4d0c3,5f34d0c3
3.187500,dfb56381,5f356381
3.250000,dfb600d5,5f3600d5
3.312500,dfb6a83f,5f36a83f
3.375000,dfb75948,5f375948
3.437500,dfb8137d,5f38137d
3.500000,dfb8d677,5f38d677
3.562500,dfb9a1d2,5f39a1d2
3.625000,dfba7532,5f3a7532
3.687500,dfbb503e,5f3b503e
3.750000,dfbc32a5,5f3c32a5
3.812500,dfbd1c1a,5f3d1c1a
3.875000,dfbe0c52,5f3e0c52
3.937500,dfbf030a,5f3f030a
4.000000,dfc00000,5f400000
4.062500,dfbf05ec,5f3f05ec
4.125000,dfbe1764,5f3e1764
4.187500,dfbd33f9,5f3d33f9
4.250000,dfbc5b42,5f3c5b42
4.312500,dfbb8cdc,5f3b8cdc
4.375000,dfbac867,5f3ac867
4.437500,dfba0d8a,5f3a0d8a
4.500000,dfb95bef,5f395bef
4.562500,dfb8b345,5f38b345
4.625000,dfb8133e,5f38133e
4.687500,dfb77b90,5f377b90
4.750000,dfb6ebf5,5f36ebf5
4.812500,dfb6642a,5f36642a
4.875000,dfb5e3ed,5f35e3ed
4.937500,dfb56b02,5f356b02
5.000000,dfb4f92e,5f34f92e
5.062500,dfb48e39,5f348e39
5.125000,dfb429ed,5f3429ed
5.187500,dfb3cc16,5f33cc16
5.250000,dfb37483,5f337483
5.312500,dfb32305,5f332305
5.375000,dfb2d76e,5f32d76e
5.437500,dfb29193,5f329193
5.500000,dfb2514a,5f32514a
5.562500,dfb2166b,5f32166b
5.625000,dfb1e0cf,5f31e0cf
5.687500,dfb1b051,5f31b051
5.750000,dfb184cd,5f3184cd
5.812500,dfb15e22,5f315e22
5.875000,dfb13c2e,5f313c2e
5.937500,dfb11ed0,5f311ed0
6.000000,dfb105ec,5f3105ec
6.062500,dfb0f162,5f30f162
6.125000,dfb0e116,5f30e116
6.187500,dfb0d4ed,5f30d4ed
6.250000,dfb0cccd,5f30cccd
6.312500,dfb0c89b,5f30c89b
6.375000,dfb0c83f,5f30c83f
6.437500,dfb0cba2,5f30cba2
6.500000,dfb0d2ab,5f30d2ab
6.562500,dfb0dd45,5f30dd45
6.625000,dfb0eb5a,5f30eb5a
6.687500,dfb0fcd6,5f30fcd6
6.750000,dfb111a3,5f3111a3
6.812500,dfb129af,5f3129af
6.875000,dfb144e6,5f3144e6
6.937500,dfb16337,5f316337
7.000000,dfb1848f,5f31848f
7.062500,dfb1a8de,5f31a8de
7.125000,dfb1d012,5f31d012
7.187500,dfb1fa1c,5f31fa1c
7.250000,dfb226eb,5f3226eb
7.312500,dfb25671,5f325671
7.375000,dfb2889f,5f32889f
7.437500,dfb2bd67,5f32bd67
7.500000,dfb2f4ba,5f32f4ba
7.562500,dfb32e8c,5f332e8c
7.625000,dfb36ace,5f336ace
7.687500,dfb3a975,5f33a975
7.750000,dfb3ea74,5f33ea74
7.812500,dfb42dbf,5f342dbf
7.875000,dfb4734a,5f34734a
7.937500,dfb4bb09,5f34bb09
8.000000,dfb504f3,5f3504f3
8.062500,dfb4d0fc,5f34d0fc
8.125000,dfb49f19,5f349f19
8.187500,dfb46f41,5f346f41
8.250000,dfb4416a,5f34416a
8.312500,dfb41589,5f341589
8.375000,dfb3eb96,5f33eb96
8.437500,dfb3c387,5f33c387
8.500000,dfb39d53,5f339d53
8.562500,dfb378f2,5f3378f2
8.625000,dfb3565c,5f33565c
8.687500,dfb33587,5f333587
8.750000,dfb3166c,5f33166c
8.812500,dfb2f904,5f32f904
8.875000,dfb2dd46,5f32dd46
8.937500,dfb2c32a,5f32c32a
9.000000,dfb2aaab,5f32aaab
9.062500,dfb293c0,5f3293c0
9.125000,dfb27e62,5f327e62
9.187500,dfb26a8c,5f326a8c
9.250000,dfb25835,5f325835
9.312500,dfb24759,5f324759
9.375000,dfb237f0,5f3237f0
9.437500,dfb229f4,5f3229f4
9.500000,dfb21d5f,5f321d5f
9.562500,dfb2122c,5f32122c
9.625000,dfb20855,5f320855
9.687500,dfb1ffd3,5f31ffd3
9.750000,dfb1f8a2,5f31f8a2
9.812500,dfb1f2bd,5f31f2bd
9.875000,dfb1ee1d,5f31ee1d
9.937500,dfb1eabe,5f31eabe
10.000000,dfb1e89b,5f31e89b
10.062500,dfb1e7af,5f31e7af
10.125000,dfb1e7f5,5f31e7f5
10.187500,dfb1e968,5f31e968
10.250000,dfb1ec04,5f31ec04
10.312500,dfb1efc4,5f31efc4
10.375000,dfb1f4a4,5f31f4a4
10.437500,dfb1faa0,5f31faa0
10.500000,dfb201b3,5f3201b3
10.562500,dfb209d9,5f3209d9
10.625000,dfb2130e,5f32130e
10.687500,dfb21d4e,5f321d4e
10.750000,dfb22896,5f322896
10.812500,dfb234e1,5f3234e1
10.875000,dfb2422c,5f32422c
10.937500,dfb25073,5f325073
11.000000,dfb25fb2,5f325fb2
11.062500,dfb26fe6,5f326fe6
11.125000,dfb2810c,5f32810c
11.187500,dfb29320,5f329320
11.250000,dfb2a61f,5f32a61f
11.312500,dfb2ba05,5f32ba05
11.375000,dfb2ced0,5f32ced0
11.437500,dfb2e47c,5f32e47c
11.500000,dfb2fb06,5f32fb06
11.562500,dfb3126c,5f33126c
11.625000,dfb32aa9,5f332aa9
11.687500,dfb343bc,5f3343bc
11.750000,dfb35da2,5f335da2
11.812500,dfb37857,5f337857
11.875000,dfb393d9,5f3393d9
11.937500,dfb3b026,5f33b026
12.000000,dfb3cd3a,5f33cd3a
12.062500,dfb3eb13,5f33eb13
12.125000,dfb409af,5f3409af
12.187500,dfb4290b,5f34290b
12.250000,dfb44925,5f344925
12.312500,dfb469f9,5f3469f9
12.375000,dfb48b87,5f348b87
12.437500,dfb4adca,5f34adca
12.500000,dfb4d0c3,5f34d0c3
12.562500,dfb4f46d,5f34f46d
12.625000,dfb518c6,5f3518c6
12.687500,dfb53dce,5f353dce
12.750000,dfb56381,5f356381
12.812500,dfb589dd,5f3589dd
12.875000,dfb5b0e0,5f35b0e0
12.937500,dfb5d889,5f35d889
13.000000,dfb600d5,5f3600d5
13.062500,dfb629c2,5f3629c2
13.125000,dfb6534f,5f36534f
13.187500,dfb67d79,5f367d79
13.250000,dfb6a83f,5f36a83f
13.312500,dfb6d39f,5f36d39f
13.375000,dfb6ff97,5f36ff97
13.437500,dfb72c25,5f372c25
13.500000,dfb75948,5f375948
13.562500,dfb786fd,5f3786fd
13.625000,dfb7b544,5f37b544
13.687500,dfb7e41a,5f37e41a
13.750000,dfb8137d,5f38137d
13.812500,dfb8436d,5f38436d
13.875000,dfb873e8,5f3873e8
13.937500,dfb8a4ec,5f38a4ec
14.000000,dfb8d677,5f38d677
14.062500,dfb90889,5f390889
14.125000,dfb93b1e,5f393b1e
14.187500,dfb96e37,5f396e37
14.250000,dfb9a1d2,5f39a1d2
14.312500,dfb9d5ed,5f39d5ed
14.375000,dfba0a87,5f3a0a87
14.437500,dfba3f9e,5f3a3f9e
14.500000,dfba7532,5f3a7532
14.562500,dfbaab40,5f3aab40
14.625000,dfbae1c7,5f3ae1c7
14.687500,dfbb18c7,5f3b18c7
14.750000,dfbb503e,5f3b503e
14.812500,dfbb882a,5f3b882a
14.875000,dfbbc08b,5f3bc08b
14.937500,dfbbf95f,5f3bf95f
15.000000,dfbc32a5,5f3c32a5
15.062500,dfbc6c5c,5f3c6c5c
15.125000,dfbca682,5f3ca682
15.187500,dfbce117,5f3ce117
15.250000,dfbd1c1a,5f3d1c1a
15.312500,dfbd5788,5f3d5788
15.375000,dfbd9362,5f3d9362
15.437500,dfbdcfa6,5f3dcfa6
15.500000,dfbe0c52,5f3e0c52
15.562500,dfbe4967,5f3e4967
15.625000,dfbe86e2,5f3e86e2
15.687500,dfbec4c4,5f3ec4c4
15.750000,dfbf030a,5f3f030a
15.812500,dfbf41b4,5f3f41b4
15.875000,dfbf80c1,5f3f80c1
15.937500,dfbfc030,5f3fc030
16.000000,dfc00000,5f400000
16.062500,dfbfc060,5f3fc060
16.125000,dfbf817e,5f3f817e
16.187500,dfbf4358,5f3f4358
16.250000,dfbf05ec,5f3f05ec
16.312500,dfbec93a,5f3ec93a
16.375000,dfbe8d3e,5f3e8d3e
16.437500,dfbe51f7,5f3e51f7
16.500000,dfbe1764,5f3e1764
16.562500,dfbddd83,5f3ddd83
16.625000,dfbda452,5f3da452
16.687500,dfbd6bcf,5f3d6bcf
16.750000,dfbd33f9,5f3d33f9
16.812500,dfbcfccf,5f3cfccf
16.875000,dfbcc64e,5f3cc64e
16.937500,dfbc9075,5f3c9075
17.000000,dfbc5b42,5f3c5b42
17.062500,dfbc26b5,5f3c26b5
17.125000,dfbbf2cb,5f3bf2cb
17.187500,dfbbbf83,5f3bbf83
17.250000,dfbb8cdc,5f3b8cdc
17.312500,dfbb5ad3,5f3b5ad3
17.375000,dfbb2969,5f3b2969
17.437500,dfbaf89a,5f3af89a
17.500000,dfbac867,5f3ac867
17.562500,dfba98cd,5f3a98cd
17.625000,dfba69cb,5f3a69cb
17.687500,dfba3b60,5f3a3b60
17.750000,dfba0d8a,5f3a0d8a
17.812500,dfb9e048,5f39e048
17.875000,dfb9b399,5f39b399
17.937500,dfb9877c,5f39877c
18.000000,dfb95bef,5f395bef
18.062500,dfb930f1,5f3930f1
18.125000,dfb90681,5f390681
18.187500,dfb8dc9d,5f38dc9d
18.250000,dfb8b345,5f38b345
18.312500,dfb88a77,5f388a77
18.375000,dfb86232,5f386232
18.437500,dfb83a74,5f383a74
18.500000,dfb8133e,5f38133e
18.562500,dfb7ec8d,5f37ec8d
18.625000,dfb7c660,5f37c660
18.687500,dfb7a0b7,5f37a0b7
18.750000,dfb77b90,5f377b90
18.812500,dfb756ea,5f3756ea
18.875000,dfb732c5,5f3732c5
18.937500,dfb70f1e,5f370f1e
19.000000,dfb6ebf5,5f36ebf5
19.062500,dfb6c949,5f36c949
19.125000,dfb6a71a,5f36a71a
19.187500,dfb68565,5f368565
19.250000,dfb6642a,5f36642a
19.312500,dfb64368,5f364368
19.375000,dfb6231d,5f36231d
19.437500,dfb6034a,5f36034a
19.500000,dfb5e3ed,5f35e3ed
19.562500,dfb5c505,5f35c505
19.625000,dfb5a691,5f35a691
19.687500,dfb58891,5f358891
19.750000,dfb56b02,5f356b02
19.812500,dfb54de5,5f354de5
19.875000,dfb53139,5f353139
19.937500,dfb514fc,5f3514fc
20.000000,dfb4f92e,5f34f92e
20.062500,dfb4ddce,5f34ddce
20.125000,dfb4c2db,5f34c2db
20.187500,dfb4a854,5f34a854
20.250000,dfb48e39,5f348e39
20.312500,dfb47488,5f347488
20.375000,dfb45b41,5f345b41
20.437500,dfb44263,5f344263
20.500000,dfb429ed,5f3429ed
20.562500,dfb411de,5f3411de
20.625000,dfb3fa36,5f33fa36
20.687500,dfb3e2f3,5f33e2f3
20.750000,dfb3cc16,5f33cc16
20.812500,dfb3b59c,5f33b59c
20.875000,dfb39f87,5f339f87
20.937500,dfb389d4,5f3389d4
21.000000,dfb37483,5f337483
21.062500,dfb35f93,5f335f93
21.125000,dfb34b04,5f334b04
21.187500,dfb336d5,5f3336d5
21.250000,dfb32305,5f332305
21.312500,dfb30f93,5f330f93
21.375000,dfb2fc7f,5f32fc7f
21.437500,dfb2e9c8,5f32e9c8
21.500000,dfb2d76e,5f32d76e
21.562500,dfb2c56f,5f32c56f
21.625000,dfb2b3cc,5f32b3cc
21.687500,dfb2a282,5f32a282
21.750000,dfb29193,5f329193
21.812500,dfb280fd,5f3280fd
21.875000,dfb270bf,5f3270bf
21.937500,dfb260d9,5f3260d9
22.000000,dfb2514a,5f32514a
22.062500,dfb24212,5f324212
22.125000,dfb23330,5f323330
22.187500,dfb224a3,5f3224a3
22.250000,dfb2166b,5f32166b
22.312500,dfb20887,5f320887
22.375000,dfb1faf7,5f31faf7
22.437500,dfb1edba,5f31edba
22.500000,dfb1e0cf,5f31e0cf
22.562500,dfb1d436,5f31d436
22.625000,dfb1c7ee,5f31c7ee
22.687500,dfb1bbf8,5f31bbf8
22.750000,dfb1b051,5f31b051
22.812500,dfb1a4fa,5f31a4fa
22.875000,dfb199f2,5f3199f2
22.937500,dfb18f39,5f318f39
23.000000,dfb184cd,5f3184cd
23.062500,dfb17ab0,5f317ab0
23.125000,dfb170df,5f3170df
23.187500,dfb1675a,5f31675a
23.250000,dfb15e22,5f315e22
23.312500,dfb15535,5f315535
23.375000,dfb14c93,5f314c93
23.437500,dfb1443b,5f31443b
23.500000,dfb13c2e,5f313c2e
23.562500,dfb13469,5f313469
23.625000,dfb12cee,5f312cee
23.687500,dfb125bb,5f3125bb
23.750000,dfb11ed0,5f311ed0
23.812500,dfb1182d,5f31182d
23.875000,dfb111d1,5f3111d1
23.937500,dfb10bbb,5f310bbb
24.000000,dfb105ec,5f3105ec
24.062500,dfb10062,5f310062
24.125000,dfb0fb1d,5f30fb1d
24.187500,dfb0f61d,5f30f61d
24.250000,dfb0f162,5f30f162
24.312500,dfb0ecea,5f30ecea
24.375000,dfb0e8b6,5f30e8b6
24.437500,dfb0e4c5,5f30e4c5
24.500000,dfb0e116,5f30e116
24.562500,dfb0ddaa,5f30ddaa
24.625000,dfb0da7f,5f30da7f
24.687500,dfb0d796,5f30d796
24.750000,dfb0d4ed,5f30d4ed
24.812500,dfb0d285,5f30d285
24.875000,dfb0d05e,5f30d05e
24.937500,dfb0ce76,5f30ce76
25.000000,dfb0cccd,5f30cccd
25.062500,dfb0cb63,5f30cb63
25.125000,dfb0ca38,5f30ca38
25.187500,dfb0c94b,5f30c94b
25.250000,dfb0c89b,5f30c89b
25.312500,dfb0c829,5f30c829
25.375000,dfb0c7f4,5f30c7f4
25.437500,dfb0c7fc,5f30c7fc
25.500000,dfb0c83f,5f30c83f
25.562500,dfb0c8bf,5f30c8bf
25.625000,dfb0c97a,5f30c97a
25.687500,dfb0ca71,5f30ca71
25.750000,dfb0cba2,5f30cba2
25.812500,dfb0cd0d,5f30cd0d
25.875000,dfb0ceb3,5f30ceb3
25.937500,dfb0d092,5f30d092
26.000000,dfb0d2ab,5f30d2ab
26.062500,dfb0d4fd,5f30d4fd
26.125000,dfb0d787,5f30d787
26.187500,dfb0da4a,5f30da4a
26.250000,dfb0dd45,5f30dd45
26.312500,dfb0e078,5f30e078
26.375000,dfb0e3e2,5f30e3e2
26.437500,dfb0e783,5f30e783
26.500000,dfb0eb5a,5f30eb5a
26.562500,dfb0ef68,5f30ef68
26.625000,dfb0f3ac,5f30f3ac
26.687500,dfb0f826,5f30f826
26.750000,dfb0fcd6,5f30fcd6
26.812500,dfb101ba,5f3101ba
26.875000,dfb106d3,5f3106d3
26.937500,dfb10c21,5f310c21
27.000000,dfb111a3,5f3111a3
27.062500,dfb11759,5f311759
27.125000,dfb11d42,5f311d42
27.187500,dfb1235f,5f31235f
27.250000,dfb129af,5f3129af
27.312500,dfb13031,5f313031
27.375000,dfb136e6,5f3136e6
27.437500,dfb13dcd,5f313dcd
27.500000,dfb144e6,5f3144e6
27.562500,dfb14c31,5f314c31
27.625000,dfb153ad,5f3153ad
27.687500,dfb15b59,5f315b59
27.750000,dfb16337,5f316337
27.812500,dfb16b45,5f316b45
27.875000,dfb17383,5f317383
27.937500,dfb17bf1,5f317bf1
28.000000,dfb1848f,5f31848f
28.062500,dfb18d5c,5f318d5c
28.125000,dfb19659,5f319659
28.187500,dfb19f84,5f319f84
28.250000,dfb1a8de,5f31a8de
28.312500,dfb1b266,5f31b266
28.375000,dfb1bc1c,5f31bc1c
28.437500,dfb1c600,5f31c600
28.500000,dfb1d012,5f31d012
28.562500,dfb1da51,5f31da51
28.625000,dfb1e4bd,5f31e4bd
28.687500,dfb1ef56,5f31ef56
28.750000,dfb1fa1c,5f31fa1c
28.812500,dfb2050e,5f32050e
28.875000,dfb2102c,5f32102c
28.937500,dfb21b76,5f321b76
29.000000,dfb226eb,5f3226eb
29.062500,dfb2328c,5f32328c
29.125000,dfb23e58,5f323e58
29.187500,dfb24a4f,5f324a4f
29.250000,dfb25671,5f325671
29.312500,dfb262be,5f3262be
29.375000,dfb26f34,5f326f34
29.437500,dfb27bd5,5f327bd5
29.500000,dfb2889f,5f32889f
29.562500,dfb29593,5f329593
29.625000,dfb2a2b1,5f32a2b1
29.687500,dfb2aff7,5f32aff7
29.750000,dfb2bd67,5f32bd67
29.812500,dfb2caff,5f32caff
29.875000,dfb2d8c0,5f32d8c0
29.937500,dfb2e6a9,5f32e6a9
30.000000,dfb2f4ba,5f32f4ba
30.062500,dfb302f3,5f3302f3
30.125000,dfb31154,5f331154
30.187500,dfb31fdc,5f331fdc
30.250000,dfb32e8c,5f332e8c
30.312500,dfb33d62,5f333d62
30.375000,dfb34c60,5f334c60
30.437500,dfb35b84,5f335b84
30.500000,dfb36ace,5f336ace
30.562500,dfb37a3f,5f337a3f
30.625000,dfb389d6,5f3389d6
30.687500,dfb39993,5f339993
30.750000,dfb3a975,5f33a975
30.812500,dfb3b97d,5f33b97d
30.875000,dfb3c9aa,5f33c9aa
30.937500,dfb3d9fd,5f33d9fd
31.000000,dfb3ea74,5f33ea74
31.062500,dfb3fb10,5f33fb10
31.125000,dfb40bd0,5f340bd0
31.187500,dfb41cb5,5f341cb5
31.250000,dfb42dbf,5f342dbf
31.312500,dfb43eec,5f343eec
31.375000,dfb4503d,5f34503d
31.437500,dfb461b1,5f3461b1
31.500000,dfb4734a,5f34734a
31.562500,dfb48505,5f348505
31.625000,dfb496e4,5f3496e4
31.687500,dfb4a8e5,5f34a8e5
31.750000,dfb4bb09,5f34bb09
31.812500,dfb4cd50,5f34cd50
31.875000,dfb4dfba,5f34dfba
31.937500,dfb4f245,5f34f245
32.000000,dfb504f3,5f3504f3
32.062500,dfb4f7c3,5f34f7c3
